id,name,position,team,value
17,Matt Prater,K,BUF,0
19,Joe Flacco,QB,CIN,0
96,Aaron Rodgers,QB,PIT,0
111,Marcedes Lewis,TE,DEN,0
138,Ben Roethlisberger,QB,PIT,0
260,Josh Johnson,QB,WAS,0
421,Matthew Stafford,QB,LAR,0
503,Graham Gano,K,NYG,0
650,Nick Folk,K,NYJ,0
812,Lee Smith,TE,ATL,0
827,Tyrod Taylor,QB,NYJ,0
829,Andy Dalton,QB,CAR,0
1166,Kirk Cousins,QB,ATL,0
1234,Russell Wilson,QB,NYG,0
1339,Zach Ertz,TE,WAS,0
1373,Geno Smith,QB,LV,0
1408,Le'Veon Bell,RB,TB,0
1426,DeAndre Hopkins,WR,BAL,0
1433,Brandon McManus,K,GB,0
1466,Travis Kelce,TE,KC,0
1479,Keenan Allen,WR,LAC,0
1592,Darren Fells,TE,TB,0
1604,Nick Williams,WR,DEN,0
1642,Levine Toilolo,TE,NYG,0
1689,Adam Thielen,WR,MIN,0
1706,Jack Doyle,TE,IND,0
1737,Case Keenum,QB,CHI,0
1837,Jimmy Garoppolo,QB,LAR,0
1945,Chris Boswell,K,PIT,0
1979,Blake Bortles,QB,NO,0
1984,Allen Hurns,WR,MIA,0
2020,Cairo Santos,K,CHI,0
2118,Eric Ebron,TE,PIT,0
2133,Davante Adams,WR,LAR,0
2152,Teddy Bridgewater,QB,TB,0
2197,Brandin Cooks,WR,NO,0
2216,Mike Evans,WR,TB,0
2306,Jameis Winston,QB,NYG,0
2307,Marcus Mariota,QB,WAS,0
2334,Phillip Dorsett,WR,LV,0
2359,Ameer Abdullah,RB,IND,0
2374,Tyler Lockett,WR,LV,0
2449,Stefon Diggs,WR,NE,0
2505,Darren Waller,TE,MIA,0
2549,Trevor Siemian,QB,TEN,0
2747,Jason Myers,K,SEA,0
2749,Raheem Mostert,RB,LV,0
2750,DeAndre Carter,WR,CLE,0
2944,Matt LaCosse,TE,NE,0
3048,Chris Manhertz,TE,NYG,0
3155,Laquon Treadwell,WR,IND,0
3161,Carson Wentz,QB,MIN,0
3163,Jared Goff,QB,DET,0
3198,Derrick Henry,RB,BAL,0
3200,Sterling Shepard,WR,TB,0
3202,Austin Hooper,TE,NE,0
3214,Hunter Henry,TE,NE,0
3239,Bronson Kaufusi,TE,GB,0
3257,Jacoby Brissett,QB,ARI,0
3258,Nick Vannett,TE,MIN,0
3269,Chris Moore,WR,WAS,0
3271,Tyler Higbee,TE,LAR,0
3286,Demarcus Robinson,WR,SF,0
3294,Dak Prescott,QB,DAL,0
3309,Wendell Smallwood,RB,WAS,0
3321,Tyreek Hill,WR,MIA,0
3333,Temarrick Hemingway,TE,WAS,0
3357,Brandon Allen,QB,TEN,0
3362,Jeff Driskel,QB,ARI,0
3423,Robbie Chosen,WR,WAS,0
3451,Ka'imi Fairbairn,K,HOU,0
3634,Kalif Raymond,WR,DET,0
3668,Joshua Perkins,TE,NYJ,0
3678,Wil Lutz,K,DEN,0
3868,Jalen Richard,RB,LV,0
3976,Mitchell Trubisky,QB,BUF,0
4017,Deshaun Watson,QB,CLE,0
4018,Joe Mixon,RB,HOU,0
4033,David Njoku,TE,CLE,0
4034,Christian McCaffrey,RB,SF,0
4035,Alvin Kamara,RB,NO,0
4037,Chris Godwin,WR,TB,0
4039,Cooper Kupp,WR,SEA,0
4040,JuJu Smith-Schuster,WR,KC,0
4046,Patrick Mahomes,QB,KC,0
4054,Mo Alie-Cox,TE,IND,0
4066,Evan Engram,TE,DEN,0
4080,Zay Jones,WR,ARI,0
4082,Curtis Samuel,WR,BUF,0
4098,Kareem Hunt,RB,KC,0
4127,C.J. Beathard,QB,DET,0
4137,James Conner,RB,ARI,0
4144,Jonnu Smith,TE,PIT,0
4147,Samaje Perine,RB,CIN,0
4171,Josh Reynolds,WR,NYJ,0
4177,Mack Hollins,WR,NE,0
4179,Joshua Dobbs,QB,NE,0
4189,Eric Saubert,TE,SEA,0
4195,Jake Elliott,K,PHI,0
4198,Jamal Agnew,WR,ATL,0
4199,Aaron Jones,RB,MIN,0
4217,George Kittle,TE,SF,0
4218,Trent Taylor,WR,SF,0
4219,Jeremy McNichols,RB,WAS,0
4227,Harrison Butker,K,KC,0
4233,Zane Gonzalez,K,ATL,0
4234,Noah Brown,WR,WAS,0
4263,Elijah McGuire,RB,KC,0
4274,David Moore,WR,CAR,0
4314,Johnny Mundt,TE,JAX,0
4349,Taquan Mizzell,RB,NYG,0
4351,Tim Patrick,WR,JAX,0
4381,Taysom Hill,TE,NO,0
4435,Anthony Firkser,TE,DET,0
4443,Pharaoh Brown,TE,ARI,0
4454,Kendrick Bourne,WR,SF,0
4464,Nick Mullens,QB,JAX,0
4490,Wyatt Houston,TE,CAR,0
4574,Cooper Rush,QB,BAL,0
